name,category,light_condition,location_type,space_required,care_time,experience_level,feng_shui_meaning,description,care_tips
Cây Mai Vàng,Cây Tết,high,outdoor,large,high,intermediate,wealth|luck,Cây mai vàng là biểu tượng của Tết cổ truyền miền Nam. Hoa vàng rực rỡ mang đến may mắn và tài lộc cho gia chủ.,Cần nhiều ánh sáng trực tiếp. Tưới nước đều đặn nhưng tránh úng. Bón phân trước Tết 2-3 tháng.
Cây Quất,Cây Tết,high,both,medium,medium,beginner,wealth|luck,Cây quất với quả vàng óng tượng trưng cho sự sung túc và may mắn. Phổ biến trong dịp Tết miền Bắc.,Đặt nơi có ánh sáng tốt. Tưới nước khi đất khô. Bón phân hữu cơ định kỳ.
Cây Đào,Cây Tết,high,outdoor,large,high,intermediate,love|luck,Hoa đào hồng tươi thắm là biểu tượng của mùa xuân miền Bắc. Mang ý nghĩa về tình yêu và sự khởi đầu mới.,Cần nhiều ánh sáng. Tưới nước thường xuyên trong mùa ra hoa. Cắt tỉa sau Tết.
Cây Kim Ngân,Cây Phong Thủy,medium,indoor,small,low,beginner,wealth|air_purifying,Cây kim ngân (cây tiền) có lá tròn như đồng xu. Dễ trồng và mang lại tài lộc theo phong thủy.,Chịu bóng tốt. Tưới nước 1-2 lần/tuần. Rất dễ chăm sóc cho người mới.
Cây Phát Tài,Cây Phong Thủy,medium,indoor,medium,low,beginner,wealth,Cây phát tài có thân bện độc đáo. Tượng trưng cho sự phát triển và thịnh vượng trong kinh doanh.,Ánh sáng gián tiếp. Tưới nước khi đất khô 2-3cm. Tránh úng nước.
Cây Lưỡi Hổ,Cây Cảnh Lá,low,indoor,small,low,beginner,air_purifying|health,Lưỡi hổ có khả năng thanh lọc không khí tuyệt vời. Rất dễ sống và ít cần chăm sóc.,Chịu bóng rất tốt. Tưới nước 1 lần/tuần. Tránh tưới quá nhiều.
Cây Trầu Bà,Cây Cảnh Lá,low,indoor,small,low,beginner,air_purifying,Trầu bà có nhiều giống với lá đẹp. Thanh lọc không khí và dễ trồng trong nhà.,Ưa bóng râm. Tưới nước khi đất khô. Phun sương lên lá thường xuyên.
Cây Lan Ý,Cây Cảnh Lá,low,indoor,small,low,beginner,luck|air_purifying,Lan Ý có lá xanh mướt quanh năm. Mang lại may mắn và thanh lọc không khí hiệu quả.,Chịu bóng tốt. Tưới nước 2-3 lần/tuần. Lau lá để tránh bụi bám.
Cây Hoa Hồng,Cây Hoa,high,outdoor,medium,high,intermediate,love|health,Hoa hồng là nữ hoàng của các loài hoa. Tượng trưng cho tình yêu và sự lãng mạn.,Cần nhiều ánh sáng. Tưới nước đều đặn. Bón phân và cắt tỉa thường xuyên.
Cây Hoa Giấy,Cây Hoa,high,outdoor,large,medium,intermediate,luck|health,Hoa giấy nở rực rỡ nhiều màu sắc. Chịu nắng tốt và dễ chăm sóc ở ngoài trời.,Cần ánh sáng mạnh. Tưới ít nước. Bón phân lân để ra hoa nhiều.
